membership,split,note,Interaction_dACC,Interaction_mPFC,mPFC,dACC,dlPFC,PPC,Ventral_striatum_dACC,Thalamus_dACC,Thalamus_dlPFC,Ventral_striatum_dlPFC,Posterior_Cerebellum_dlPFC
1,1,inF,-2.97881024,-10.69633088,-9.702700246,-2.043376081,1.677330415,10.68857792,-0.061924779,0.609067681,-0.305788765,0.000668986,0.810016545
1,1,inF,7.503030189,-0.454627955,-0.599169502,7.763081873,7.402910667,13.26902331,-0.773259483,0.487957453,-0.050715438,0.450104669,1.403545175
1,1,inF,-1.230502507,-1.522644463,-1.10629285,-0.324360763,1.971122554,0.410797827,3.753710424,2.135347821,0.998966955,3.24100432,0.705764823
1,1,inF,8.457288627,-4.661249448,-3.290384934,8.696994045,10.93864039,12.82373337,-0.921498085,-0.892583669,0.145543688,-0.484372895,0.259662159
1,1,inF,1.030058561,3.311859938,2.995773698,0.729605246,-0.644664485,0.557093275,-2.314196514,-1.167772706,-0.974482709,-1.870326359,-1.839399154
1,1,inF,8.776551411,-3.878204974,-3.138031388,9.048007045,6.213815524,17.06921066,0.951083461,-0.225283361,-1.270424378,-2.267967751,-1.112680312
1,1,inF,4.684318448,-3.882767102,-1.218871248,7.243897943,11.73733646,27.33104191,1.591350569,2.86120638,0.718603701,2.251677847,3.291536721
1,1,inF,7.214824893,-5.629356873,-4.446837813,7.994175719,10.64927241,13.59207216,0.518928845,0.348017508,0.741257973,0.493675495,-0.043914984
1,1,inF,11.33130791,-6.413944888,-5.856475483,11.73267389,13.02901338,18.01473298,-0.271529522,-0.904921534,0.607770122,-1.165445808,-1.116491559
1,1,inF,0.607202748,0.539506794,-0.512425552,1.963967944,0.971930943,2.296610434,-0.202856497,-1.049127521,-0.948466006,-0.050328862,-1.133088941
1,1,inF,5.735485256,-4.094564919,-3.49843333,4.49202984,3.589410743,9.545390806,0.189962741,0.369734781,-0.057228045,0.048407756,-2.009686285
1,1,inF,-0.559704017,-11.44801935,-10.41982824,1.89152608,-0.899274103,3.123778028,-2.170062032,-2.924423261,-0.282964112,-1.255738202,-2.278183612
1,1,inF,9.689107123,-7.138969236,-4.208459325,8.392130396,4.796069484,9.61022936,1.977206055,1.120238659,0.593159904,1.194143522,1.248381029
1,1,inF,6.130013312,-4.689988737,-1.570541543,6.770608412,10.65646595,21.79638651,0.320290767,0.773221503,-0.400661673,0.607352969,2.157815097
1,1,inF,8.063182337,-2.117567653,-2.087734805,9.479281557,8.754807802,14.07269558,0.402144731,0.807080247,0.2834799,0.59367088,0.684901506
1,1,inF,2.283598246,-6.162001159,-5.307779878,3.437794187,-1.467395152,3.467164774,-0.511672862,-0.141842752,0.232456166,-0.966227811,0.557216037
1,1,inF,7.225972025,-0.680475282,0.060020402,7.744547364,11.79247782,16.97621041,-1.458957032,-1.180207943,-0.35752813,-2.101237995,0.023750165
1,1,inF,15.16150359,-9.429786309,-7.802439416,12.90600467,6.616147043,11.3475269,1.142545957,1.628436908,0.048394379,1.155171713,0.532778776
1,1,inF,16.26326056,3.371611012,4.419984233,18.28675891,19.77094394,18.17224978,-0.151817476,-1.646226329,-0.639833923,0.183240739,-1.071137139
1,1,inF,7.361079983,-3.976447379,-2.348864423,7.309371534,3.535779325,8.860384947,-0.807777548,-0.152234291,-0.744878419,-0.153778392,-1.619696185
1,1,inF,8.626762222,-5.487274212,-4.005002282,8.86558808,6.196836724,5.274375535,-0.666467718,0.186746128,-1.084246388,-0.67476349,0.197110831
1,1,inF,4.293763488,-5.613328939,-3.743704537,4.513758315,2.592854331,3.803184009,-0.25608767,-1.422440124,-0.542913714,0.055635251,1.110812638
1,1,inF,-1.281981386,-4.617694368,-3.936105468,-0.697571293,-0.280379999,12.77354356,-0.135910694,0.188097129,-0.186835628,0.177185715,-0.146415836
1,1,inF,7.565974301,2.485387334,5.294030675,10.37052641,12.06745086,24.76056071,-0.181113642,-0.782122117,0.802922644,-1.255696184,0.551016463
1,1,inF,-0.579547706,-4.616421897,-0.594939148,2.450543922,5.950070821,22.50533233,-0.288734718,-0.664800796,-0.222691054,-0.086177413,-0.142302637
1,1,inF,6.43266008,-2.831544217,-1.246131945,6.979243299,11.04883479,19.15637384,0.402589026,-0.102049804,-0.197065268,0.215562243,-0.307471851
1,1,inF,-1.225683139,-6.751556816,-5.803513447,4.083822852,5.99805995,15.05753854,-1.070962426,-0.45332604,-1.030581281,-0.284162556,0.517149255
1,1,inF,0.868549371,2.508886148,1.670007329,3.5685272,1.499410229,5.009603891,0.695314023,-1.535536735,-0.388255592,-0.527356866,0.605433729
1,1,inF,19.96756347,1.582911183,2.031089367,18.21909231,15.81705299,14.97045722,0.155493214,-1.4489906,0.081573077,-0.427030473,0.642065137
1,1,inF,3.558604018,-5.070809679,-1.96365971,6.753486099,10.08270173,15.57076566,0.760128714,-0.037881744,0.51712245,1.400093428,0.780356021
1,1,inF,3.071161464,-7.781425354,-5.749683962,2.773118778,10.46491675,13.35553152,0.228421834,0.321230475,-0.501593865,0.368600426,-1.016972994
1,1,inF,-0.650582051,2.029023549,1.527163957,0.835161458,4.688689119,4.688681018,-0.004778511,0.52662424,-0.209915505,-0.392437953,0.688776031
1,1,inF,10.79888396,-6.807606602,-5.40802665,12.91814299,8.303285348,13.62875267,0.23002564,-0.590186228,-0.213931987,-0.211594285,-1.470407352
1,1,inF,4.089845444,-4.011729432,-2.50193799,4.109441288,4.209342272,8.383068867,-1.876973886,-0.798111608,-0.158225822,-0.824309057,0.532878099
1,1,inF,1.322344961,0.631288063,1.707069855,1.807082757,2.286551158,6.487384541,-0.214785703,-2.003947439,-0.094829771,-1.02417145,-0.109982742
1,1,inF,-0.306367524,-9.065920599,-5.2253305,1.066749449,3.496959563,3.725962089,0.855693068,-0.829852196,-0.504646609,-0.305014592,-0.861420897
1,1,inF,3.258103438,-2.789508618,-2.214429867,5.698711048,6.341378171,15.73920224,-1.157969652,-2.08642661,0.12005309,-0.301960148,-0.076939188
1,1,inF,14.87864178,0.933857355,2.039889532,14.55673464,16.47489995,22.10020126,1.12979232,0.041745673,-0.239127852,0.091712224,0.449992217
1,1,inF,7.687667746,-1.084982327,1.754581622,7.778375313,8.278919453,12.39745799,0.513654853,2.083653764,1.018935717,0.891211564,2.173437531
1,1,inF,14.9671265,-0.56187373,0.584565847,14.4422981,7.288627793,7.37883874,-0.343518001,-1.512800485,-0.586140101,-0.354083684,-1.484273797
1,1,inF,9.135837111,4.652238929,3.438195788,11.56140741,12.90727311,20.19138277,-1.051278051,-0.151197926,-0.950002883,-1.139919992,-0.148436487
1,1,inF,5.216419182,0.121289549,0.501649666,5.51988143,5.084800854,12.47424502,0.706127357,1.725612734,-0.771797193,0.202077496,-0.984978573
1,1,inF,12.91518119,-4.302594139,-2.196620597,12.69626602,8.233787808,22.61367858,1.079501013,0.741684293,0.360839998,-0.259571889,-0.141061839
1,1,inF,3.047702297,1.4954785,2.413672098,1.835784774,3.576412286,7.307337008,0.685469698,-0.187709194,-0.079990877,0.076876958,-0.644928698
1,1,inF,5.522267425,-6.049374423,-3.374279712,5.358240044,16.4862994,22.35916303,1.298248775,-0.485914988,0.866513467,1.865350552,1.633707013
1,1,inF,10.41236548,-4.855582501,-2.758791499,8.513172487,6.988514581,17.45534076,-0.739646729,1.041348866,0.350530147,0.086246292,1.153165218
1,1,inF,3.622450624,-2.861807119,-1.971964018,4.472237004,4.071262721,11.20968325,-2.06483346,-3.358583435,-1.254981722,-1.840832506,-2.68232724
1,1,inF,0.257756417,-3.056165836,-2.513139087,0.203739404,3.251861684,1.588066564,0.936111406,-1.307151764,0.420156061,0.10831152,-0.506841718
1,1,inF,3.906669693,-10.04949302,-7.551839071,4.335802059,5.726146179,14.83165213,0.626536449,0.861295428,0.433296818,0.715083691,1.005525703
1,1,inF,2.536958481,2.407606877,1.988408768,5.360478925,5.983964846,8.189296533,-0.448486863,0.802806753,0.216626921,1.803101936,0.575213693
1,1,inF,3.862189664,-1.898197707,-0.515990648,5.234804853,1.960389769,11.54135355,0.25085469,-0.934526991,0.143086942,0.398172714,0.607297267
1,1,inF,9.210332713,-10.78567419,-7.774791719,8.506827593,7.106872601,4.493472154,-2.040619197,-0.134363289,-0.151539754,-1.424679757,-1.244683697
1,1,inF,6.619371846,-9.454542453,-6.81999659,7.662180865,12.73123165,8.773529554,-0.57497785,0.604760147,1.35443154,-0.060965824,-0.009874606
1,1,inF,13.51271129,4.201257453,4.484199068,12.53036379,17.45083776,14.4690511,-0.097399731,1.602939081,0.347494646,0.557088207,2.084475165
1,1,inF,0.265834224,-9.706065194,-7.951544999,0.214643641,-1.338035658,8.051852175,0.900166285,0.970482645,0.224166323,0.576432204,1.202079652
1,1,inF,-2.560007167,-2.655948965,-0.804911516,-0.213825965,10.12463361,17.8883893,-2.044729411,-1.13125112,-0.663335284,-0.651919094,-3.474698743
1,1,inF,1.281492869,-4.198921234,-2.568918021,1.759361607,8.131954591,9.724796257,-0.149072214,-1.153171715,-0.87292478,0.056673771,-1.141434217
2,1,outF,1.699541123,-10.14993438,-8.651089553,2.821807331,6.439954589,11.33538169,0.574942069,1.484039354,0.123190853,-0.424932838,0.885731942
2,1,outF,10.39029134,0.469558986,0.489803783,9.985167948,11.76726645,18.24927283,0.263497952,2.949019539,1.268041463,1.415173526,4.030266786
2,1,outF,5.187609839,8.581146307,9.649367873,6.220370217,8.517519125,9.00475955,1.693716303,2.559397883,0.795619898,2.231603966,0.936726957
2,1,outF,6.019756968,-7.678254156,-6.299206045,5.186514854,6.276042633,10.53599298,-0.493508379,2.523641229,2.239451133,2.581561118,2.132943226
2,1,outF,0.715643563,-2.855875926,-3.465267032,0.301928168,0.165811104,4.199364845,0.101426174,-0.371145026,-0.594954386,-0.205963581,-0.749578695
2,1,outF,6.320506585,2.078771568,2.130787511,6.971218036,5.360176777,17.87452481,-0.150543654,0.566288887,-0.058931049,-0.19995372,0.250137195
2,1,outF,11.02460511,0.062007251,2.475811625,14.00702678,12.97584902,30.40837421,1.695052679,0.974819022,0.547067992,1.091249827,1.10157732
2,1,outF,6.792561278,-9.372822796,-8.014274106,7.64046287,10.67346922,15.2157601,1.727043979,1.494462709,0.307918525,1.327587237,0.44540469
2,1,outF,13.19133265,-10.69936937,-10.15894857,13.61102717,15.62579176,22.33747771,2.044705174,2.945041239,0.729179096,0.71243175,2.882723009
2,1,outF,1.182171389,-0.750792913,-0.75047427,2.556383497,1.788522703,4.606632512,1.508971283,1.20563627,0.318197545,1.534465266,-0.030850428
2,1,outF,7.740002201,1.01798753,0.708467009,6.680913241,5.155453188,9.711834005,0.463709486,0.489602837,0.791295033,0.750349422,-1.559695141
2,1,outF,6.869159479,-3.786385802,-2.447125869,8.572518374,4.204656243,7.121742833,0.729162655,1.083622854,0.457792658,0.637354771,0.61826099
2,1,outF,12.61199888,-5.396103105,-5.339497114,10.70589866,5.933676398,10.11068711,1.472442978,1.010493867,0.776279266,0.464553448,-0.052057711
2,1,outF,13.16376749,-4.210900112,-4.051320889,12.73403583,18.82511468,30.96204283,0.736498016,3.428527887,0.132044608,1.803443999,4.879080259
2,1,outF,6.571335475,-8.06974704,-6.404916134,7.790058811,7.322803031,13.17158376,-0.041601201,0.469106547,0.081303829,0.232614477,-0.244517439
2,1,outF,-0.199128058,0.806333514,0.935164341,0.443828794,-2.222437139,7.388656536,0.415438279,0.799491385,-0.437876018,1.8003199,-1.468502177
2,1,outF,6.844326969,-5.602944692,-4.135806237,6.448553501,9.379739151,11.65022374,0.54173696,0.444296132,0.369822218,0.354536399,0.655202376
2,1,outF,19.16554364,-4.541396385,-3.592254559,15.81270167,7.858856704,14.82606012,1.212332525,0.075295602,0.607579924,1.212349024,-0.394413338
2,1,outF,18.81183637,5.998645625,6.246949434,20.56331091,20.85907465,20.75026378,0.056304679,1.88652687,-0.172202568,0.539496381,0.751473915
2,1,outF,19.52190015,3.971350302,3.67923581,18.20864509,13.00145496,17.67023876,1.421694928,2.715066293,0.312948406,1.401831925,1.379971623
2,1,outF,12.48339754,-3.028297429,-2.93470127,12.61579833,8.759724371,7.635861706,-0.025696176,-0.398352521,-0.514629601,-0.79570921,-1.959210642
2,1,outF,4.693303303,-1.87121392,-2.256363247,4.399648252,3.845502459,8.054395478,0.818006056,-1.145914049,0.111856874,0.720662954,0.193842866
2,1,outF,3.783607786,-0.191025092,0.035712876,4.640828968,5.42854013,16.7988799,-0.492172655,-0.334842817,-0.240818083,-0.829685153,0.17967997
2,1,outF,1.794463149,-5.212310935,-3.539869413,3.211090709,4.325180359,11.08423969,0.996405383,0.984780428,0.316150368,1.05595659,2.172009688
2,1,outF,0.003922334,-4.220876851,-1.627880579,3.614427647,7.179685317,25.30804105,1.892761526,-0.14669685,-0.087202347,0.124599749,1.174323504
2,1,outF,10.23566491,-14.27869888,-15.17368917,9.435676676,15.01994981,24.53239707,0.476921151,-0.782100928,-0.173332643,-0.168515988,-1.087328205
2,1,outF,9.679556439,5.76312477,5.470581418,13.28781816,13.62009389,19.47324334,2.726484456,0.6766302,-0.106609927,2.945742828,1.440924506
2,1,outF,4.488330146,0.196470065,-0.671612798,7.179761746,4.708965494,9.396193833,1.626916338,-0.681870264,-0.569173823,0.445905757,0.487195425
2,1,outF,23.59430863,6.91185534,5.676747859,21.85364858,19.17900408,17.33318656,1.3295661,1.231674707,0.317244781,1.633629341,0.494421831
2,1,outF,4.931470081,-1.957484618,-0.29424896,6.885520998,8.843921013,16.66659128,0.858312376,2.711051108,0.080683104,1.935893598,3.022144896
2,1,outF,5.152606066,-9.140376687,-7.516160896,4.939688183,17.29023721,15.9174609,1.61716835,1.921772685,0.676115399,2.169812031,1.835101257
2,1,outF,2.083470941,5.370807972,4.673849819,2.690599179,5.098976093,5.752693228,0.159860423,-0.245368644,0.216167356,-0.031700478,0.062174112
2,1,outF,18.26938724,-9.285460555,-7.64527282,19.63646824,16.31926089,22.57795155,0.789283761,0.414806124,0.036923,1.461441184,0.019061403
2,1,outF,15.15497251,0.574150237,-1.877873439,13.31808674,17.76535521,18.91988063,0.210045355,-2.008352613,-0.283943184,-0.365815021,-0.464808609
2,1,outF,5.867799916,3.723363183,5.40503526,7.784289232,3.776762434,11.27231786,1.180056601,-0.621529981,-0.785277947,0.640057563,1.405314082
2,1,outF,1.245318676,-7.15310491,-5.536598082,2.169477022,3.937684998,3.51083969,0.961723457,0.77395719,0.089387434,0.523810099,0.591817792
2,1,outF,0.922649994,-5.700897977,-3.953883524,4.05520624,4.292555796,12.18029343,0.541363956,-0.71736254,0.510042098,-0.061015291,0.174023617
2,1,outF,15.70727527,-2.239942161,-2.528865845,14.57585507,17.33603457,23.48769789,0.596881226,1.449471312,0.322785776,1.116811392,2.857329819
2,1,outF,6.248130212,-2.54652362,-2.019218754,6.408986912,6.381908256,9.118235301,2.152534693,7.091168357,3.207235521,4.843845295,3.672058175
2,1,outF,13.60467402,-12.06171069,-9.312652374,12.21402937,7.491390699,8.656594083,-0.379106064,-0.129246879,-0.25039412,0.427208924,1.665827606
2,1,outF,8.288034727,0.936187864,1.270665918,10.05967151,11.03845804,16.68854967,1.568308372,1.688589717,0.981223244,1.16953847,1.983066115
2,1,outF,12.2683165,8.61909971,8.104141684,12.66105417,10.30273477,20.11002094,0.534733206,1.828134828,0.207309852,0.86259096,2.581364225
2,1,outF,15.36435782,-1.797085195,-1.046452022,14.63443194,8.958341489,21.37330526,-0.60071798,-2.816862199,-0.186373875,-2.168257244,-0.589906952
2,1,outF,8.752015859,-3.607878924,1.520975979,7.89477443,11.03253793,13.59282065,1.046434808,1.873598958,0.186420131,1.694296178,1.116442764
2,1,outF,11.25902128,-1.663538119,-0.601586078,8.885848067,19.82367551,26.20045116,-0.174771757,-0.287814403,1.053927145,0.72473161,1.46526206
2,1,outF,12.38898095,-0.864974244,0.216741179,10.48222576,11.94661898,22.80017444,-0.506550744,0.829443536,0.620178931,-0.088161083,2.090793801
2,1,outF,3.173522766,-6.003467886,-4.736609529,4.048951474,6.544804984,12.17686568,-0.156357076,1.62347571,0.666877006,0.678189196,-0.165769137
2,1,outF,-0.987019936,-2.82799635,-2.221033271,-0.641344635,3.13694981,0.796910068,3.051147567,-0.051369083,1.295561042,2.712542775,1.897531967
2,1,outF,9.484676063,-1.324044071,0.133458335,9.420040553,11.31155894,20.77052675,1.456524332,1.946922316,1.018030977,2.066900159,1.222018325
2,1,outF,5.09949969,0.294555539,0.109674323,8.387668858,6.556223975,10.08458846,-0.737649803,-0.173866562,-0.024891523,-0.45158539,-0.380671915
2,1,outF,9.573515568,-5.140439224,-4.812769793,10.7570242,9.586066383,20.97572271,0.622221163,-0.400602414,0.40063788,0.734463723,0.955031464
2,1,outF,24.10834089,-7.847979146,-7.760429762,22.61631473,21.24388505,16.26072839,0.252154767,1.773578481,0.922758924,0.861549537,1.12214612
2,1,outF,11.37526626,-6.249023662,-4.492870101,11.26754844,17.02990476,11.85359686,0.641800111,0.294786752,-0.08907792,0.439643753,0.474225588
2,1,outF,18.07270282,4.761183063,3.753221701,17.12256394,22.10612218,16.81947294,0.444963584,2.431860819,1.030260718,1.05621668,1.31264554
2,1,outF,13.13955008,-3.507452785,-1.874394002,16.30100172,12.56584464,21.53131911,-0.401278948,-0.166023602,0.070691787,0.120391918,0.229117992
2,1,outF,-4.170513409,-5.964370367,-4.561749151,-2.159450433,7.298491753,15.0889999,1.763928701,-3.175320967,-1.610771991,-0.618102644,-1.280020052
2,1,outF,2.131814902,-6.228535552,-6.630018175,2.013419681,7.024449837,5.444369666,0.421010891,-2.476167447,-0.557252964,0.012074721,-1.241977989
